"SubmissionId","SubmissionDateOnly","SubmissionTimeOnly","UserId","DistrictName","ItemsToChoose","PurchaseUnit","Price","Comments"
"6b7483a2-25c7-4fa9-864e-4b5545bb1783",2024-11-30,"23:32:19","173dcb872759ee4b05745b23a2e7ae34","Dhaka","Rice","1kg",67,NA
"6b7483a2-25c7-4fa9-864e-4b5545bb1783",2024-11-30,"23:32:19","173dcb872759ee4b05745b23a2e7ae34","Dhaka","Soybean Oil","1L",167,NA
"0e3b61f1-8e21-4f05-aea0-b7226a0946e6",2024-11-30,"23:48:36","173dcb872759ee4b05745b23a2e7ae34","Dhaka","Rice","1kg",66,NA
"0e3b61f1-8e21-4f05-aea0-b7226a0946e6",2024-11-30,"23:48:36","173dcb872759ee4b05745b23a2e7ae34","Dhaka","Soybean Oil","1L",167,NA
"8d07e7ca-e22f-44be-b5c6-3eb9a8ec71c1",2024-12-01,"04:32:29","0859ee7098b0fcd674aeb822126f986a","Dhaka","Rice","1kg",72,NA
"8d07e7ca-e22f-44be-b5c6-3eb9a8ec71c1",2024-12-01,"04:32:29","0859ee7098b0fcd674aeb822126f986a","Dhaka","Soybean Oil","1L",170,NA
"988acbef-9e63-4ab0-aea6-b3baa020c32f",2024-12-02,"06:36:04","0c29694fadfcb564ebe238a66c3b99f8","Dhaka","Sugar","1kg",185,NA
"988acbef-9e63-4ab0-aea6-b3baa020c32f",2024-12-02,"06:36:04","0c29694fadfcb564ebe238a66c3b99f8","Dhaka","Green Chilli","1kg",120,NA
"c66083e5-1cd2-4697-856b-31c3f1e3b00d",2024-12-03,"16:25:33","fae74bc76cf6016774eb072b7ad97bb8","Dhaka","Rice","1kg",72,NA
"c66083e5-1cd2-4697-856b-31c3f1e3b00d",2024-12-03,"16:25:33","fae74bc76cf6016774eb072b7ad97bb8","Dhaka","Soybean Oil","1L",180,NA
"228625d6-bc6c-4776-b20b-8ac43923c8d2",2024-12-02,"12:06:00","24d4f26a0359322aa9de9b83d25d2875","Dhaka","Rice","1kg",73,NA
"228625d6-bc6c-4776-b20b-8ac43923c8d2",2024-12-02,"12:06:00","24d4f26a0359322aa9de9b83d25d2875","Dhaka","Lentil","1kg",155,NA
"228625d6-bc6c-4776-b20b-8ac43923c8d2",2024-12-02,"12:06:00","24d4f26a0359322aa9de9b83d25d2875","Dhaka","Flour","1kg",60,NA
"228625d6-bc6c-4776-b20b-8ac43923c8d2",2024-12-02,"12:06:00","24d4f26a0359322aa9de9b83d25d2875","Dhaka","Soybean Oil","1L",167,NA
"228625d6-bc6c-4776-b20b-8ac43923c8d2",2024-12-02,"12:06:00","24d4f26a0359322aa9de9b83d25d2875","Dhaka","Salt","1kg",42,NA
"228625d6-bc6c-4776-b20b-8ac43923c8d2",2024-12-02,"12:06:00","24d4f26a0359322aa9de9b83d25d2875","Dhaka","Eggs","4 eggs",50,NA
"228625d6-bc6c-4776-b20b-8ac43923c8d2",2024-12-02,"12:06:00","24d4f26a0359322aa9de9b83d25d2875","Dhaka","Potato","1kg",70,NA
"228625d6-bc6c-4776-b20b-8ac43923c8d2",2024-12-02,"12:06:00","24d4f26a0359322aa9de9b83d25d2875","Dhaka","Onion","1kg",120,NA
"228625d6-bc6c-4776-b20b-8ac43923c8d2",2024-12-02,"12:06:00","24d4f26a0359322aa9de9b83d25d2875","Dhaka","Green Chilli","1kg",100,NA
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8",2024-12-13,"08:30:45","3c4da5d5300f1fadba9801b5e8828301","Dhaka","Rice","1kg",75,NA
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8",2024-12-13,"08:30:45","3c4da5d5300f1fadba9801b5e8828301","Dhaka","Flour","1kg",74,NA
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8",2024-12-13,"08:30:45","3c4da5d5300f1fadba9801b5e8828301","Dhaka","Lentil","1kg",165,NA
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8",2024-12-13,"08:30:45","3c4da5d5300f1fadba9801b5e8828301","Dhaka","Soybean Oil","1L",180,NA
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8",2024-12-13,"08:30:45","3c4da5d5300f1fadba9801b5e8828301","Dhaka","Sugar","1kg",125,NA
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8",2024-12-13,"08:30:45","3c4da5d5300f1fadba9801b5e8828301","Dhaka","Salt","1kg",35,NA
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8",2024-12-13,"08:30:45","3c4da5d5300f1fadba9801b5e8828301","Dhaka","Eggs","4 eggs",50,NA
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8",2024-12-13,"08:30:45","3c4da5d5300f1fadba9801b5e8828301","Dhaka","Chicken","1kg",340,NA
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8",2024-12-13,"08:30:45","3c4da5d5300f1fadba9801b5e8828301","Dhaka","Potato","1kg",80,NA
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8",2024-12-13,"08:30:45","3c4da5d5300f1fadba9801b5e8828301","Dhaka","Eggplant","1kg",120,NA
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8",2024-12-13,"08:30:45","3c4da5d5300f1fadba9801b5e8828301","Dhaka","Green Chilli","1kg",75,NA
"d7ed0df1-13ae-4691-a3a5-55d0dafaffc8",2024-12-13,"08:30:45","3c4da5d5300f1fadba9801b5e8828301","Dhaka","Onion","1kg",100,NA
"70f25470-7afe-4eca-a9ac-0e4ed3bbecce",2024-12-13,"10:25:14","def257dca811221bae96896a448afced","Naogaon","Rice","1kg",80,"Dummy"
"70f25470-7afe-4eca-a9ac-0e4ed3bbecce",2024-12-13,"10:25:14","def257dca811221bae96896a448afced","Naogaon","Soybean Oil","1L",190,"Dummy"
"70f25470-7afe-4eca-a9ac-0e4ed3bbecce",2024-12-13,"10:25:14","def257dca811221bae96896a448afced","Naogaon","Salt","1kg",60,"Dummy"
"96ac0237-9540-4781-b6a0-0e4f873d191b",2024-12-13,"10:34:37","2121cd939eb18e4942dc891e4d49dd06","Naogaon","Chicken","1kg",165,NA
"b52f7f5c-4bde-44d5-a339-390139cc0b3d",2024-12-13,"10:35:37","2121cd939eb18e4942dc891e4d49dd06","Naogaon","Chicken","1kg",290,NA
"802d4279-8756-4136-8623-64916901f86e",2024-12-13,"12:46:24","12bc8f52864c56c3dfbd8905a123f20c","Rajshahi","Flour","1kg",56,NA
"71c3316e-9cfb-4e4c-bf4b-7de9c2acd876",2024-12-13,"13:34:52","2121cd939eb18e4942dc891e4d49dd06","Rajshahi","Rice","1kg",85,NA
"71c3316e-9cfb-4e4c-bf4b-7de9c2acd876",2024-12-13,"13:34:52","2121cd939eb18e4942dc891e4d49dd06","Rajshahi","Flour","1kg",48,NA
"71c3316e-9cfb-4e4c-bf4b-7de9c2acd876",2024-12-13,"13:34:52","2121cd939eb18e4942dc891e4d49dd06","Rajshahi","Lentil","1kg",105,NA
"71c3316e-9cfb-4e4c-bf4b-7de9c2acd876",2024-12-13,"13:34:52","2121cd939eb18e4942dc891e4d49dd06","Rajshahi","Soybean Oil","1L",170,NA
"71c3316e-9cfb-4e4c-bf4b-7de9c2acd876",2024-12-13,"13:34:52","2121cd939eb18e4942dc891e4d49dd06","Rajshahi","Salt","1kg",25,NA
"71c3316e-9cfb-4e4c-bf4b-7de9c2acd876",2024-12-13,"13:34:52","2121cd939eb18e4942dc891e4d49dd06","Rajshahi","Sugar","1kg",128,NA
"71c3316e-9cfb-4e4c-bf4b-7de9c2acd876",2024-12-13,"13:34:52","2121cd939eb18e4942dc891e4d49dd06","Rajshahi","Eggs","4 eggs",46,NA
"71c3316e-9cfb-4e4c-bf4b-7de9c2acd876",2024-12-13,"13:34:52","2121cd939eb18e4942dc891e4d49dd06","Rajshahi","Chicken","1kg",290,NA
"71c3316e-9cfb-4e4c-bf4b-7de9c2acd876",2024-12-13,"13:34:52","2121cd939eb18e4942dc891e4d49dd06","Rajshahi","Potato","1kg",120,NA
"71c3316e-9cfb-4e4c-bf4b-7de9c2acd876",2024-12-13,"13:34:52","2121cd939eb18e4942dc891e4d49dd06","Rajshahi","Eggplant","1kg",60,NA
"71c3316e-9cfb-4e4c-bf4b-7de9c2acd876",2024-12-13,"13:34:52","2121cd939eb18e4942dc891e4d49dd06","Rajshahi","Onion","1kg",70,NA
